Runs,Ave,100,Start Date,Name,Country
0,0,0,12/18/89,Sachin Tendulkar,India
0,0,0,03/01/90,Sachin Tendulkar,India
36,12,0,03/06/90,Sachin Tendulkar,India
46,11.5,0,04/25/90,Sachin Tendulkar,India
66,13.2,0,04/27/90,Sachin Tendulkar,India
85,14.16,0,07/18/90,Sachin Tendulkar,India
116,16.57,0,07/20/90,Sachin Tendulkar,India
152,19,0,12/01/90,Sachin Tendulkar,India
205,22.77,0,12/05/90,Sachin Tendulkar,India
235,23.5,0,12/08/90,Sachin Tendulkar,India
235,23.5,0,12/25/90,Sachin Tendulkar,India
239,21.72,0,12/28/90,Sachin Tendulkar,India
292,24.33,0,01/04/91,Sachin Tendulkar,India
344,28.66,0,10/18/91,Sachin Tendulkar,India
366,28.15,0,10/19/91,Sachin Tendulkar,India
377,29,0,10/22/91,Sachin Tendulkar,India
426,30.42,0,10/23/91,Sachin Tendulkar,India
426,28.4,0,10/25/91,Sachin Tendulkar,India
488,30.5,0,11/10/91,Sachin Tendulkar,India
492,28.94,0,11/12/91,Sachin Tendulkar,India
493,27.38,0,11/14/91,Sachin Tendulkar,India
494,26,0,12/06/91,Sachin Tendulkar,India
530,26.5,0,12/08/91,Sachin Tendulkar,India
587,27.95,0,12/10/91,Sachin Tendulkar,India
635,28.86,0,12/14/91,Sachin Tendulkar,India
656,28.52,0,12/15/91,Sachin Tendulkar,India
733,30.54,0,01/11/92,Sachin Tendulkar,India
764,30.56,0,01/14/92,Sachin Tendulkar,India
821,32.84,0,01/16/92,Sachin Tendulkar,India
825,31.73,0,01/18/92,Sachin Tendulkar,India
894,33.11,0,01/20/92,Sachin Tendulkar,India
929,33.17,0,02/22/92,Sachin Tendulkar,India
929,33.17,0,02/28/92,Sachin Tendulkar,India
940,32.41,0,03/01/92,Sachin Tendulkar,India
994,34.27,0,03/04/92,Sachin Tendulkar,India
1075,35.83,0,03/07/92,Sachin Tendulkar,India
1079,34.8,0,03/10/92,Sachin Tendulkar,India
1163,36.34,0,03/12/92,Sachin Tendulkar,India
1177,35.66,0,03/15/92,Sachin Tendulkar,India
1216,35.76,0,10/25/92,Sachin Tendulkar,India
1231,35.17,0,12/07/92,Sachin Tendulkar,India
1241,34.47,0,12/09/92,Sachin Tendulkar,India
1263,34.13,0,12/11/92,Sachin Tendulkar,India
1284,33.78,0,12/13/92,Sachin Tendulkar,India
1316,33.74,0,12/15/92,Sachin Tendulkar,India
1339,33.47,0,12/17/92,Sachin Tendulkar,India
1360,33.17,0,12/19/92,Sachin Tendulkar,India
1442,35.17,0,01/18/93,Sachin Tendulkar,India
1443,34.35,0,01/21/93,Sachin Tendulkar,India
1446,33.62,0,02/26/93,Sachin Tendulkar,India
1470,33.4,0,03/01/93,Sachin Tendulkar,India
1475,32.77,0,03/04/93,Sachin Tendulkar,India
1509,32.8,0,03/05/93,Sachin Tendulkar,India
1512,32.17,0,03/19/93,Sachin Tendulkar,India
1520,32.34,0,03/22/93,Sachin Tendulkar,India
1520,32.34,0,03/25/93,Sachin Tendulkar,India
1541,32.1,0,07/25/93,Sachin Tendulkar,India
1556,31.75,0,08/12/93,Sachin Tendulkar,India
1581,31.62,0,08/14/93,Sachin Tendulkar,India
1607,32.14,0,11/07/93,Sachin Tendulkar,India
1609,31.54,0,11/16/93,Sachin Tendulkar,India
1633,31.4,0,11/18/93,Sachin Tendulkar,India
1636,30.86,0,11/22/93,Sachin Tendulkar,India
1651,30.57,0,11/24/93,Sachin Tendulkar,India
1679,31.09,0,11/27/93,Sachin Tendulkar,India
1680,30.54,0,02/15/94,Sachin Tendulkar,India
1691,30.74,0,02/18/94,Sachin Tendulkar,India
1743,31.12,0,02/20/94,Sachin Tendulkar,India
1758,30.84,0,03/25/94,Sachin Tendulkar,India
1840,31.72,0,03/27/94,Sachin Tendulkar,India
1903,32.25,0,03/30/94,Sachin Tendulkar,India
1943,32.38,0,04/02/94,Sachin Tendulkar,India
2006,32.88,0,04/13/94,Sachin Tendulkar,India
2079,33.53,0,04/15/94,Sachin Tendulkar,India
2085,33.09,0,04/19/94,Sachin Tendulkar,India
2109,32.95,0,04/22/94,Sachin Tendulkar,India
2120,33.12,0,09/04/94,Sachin Tendulkar,India
2126,32.7,0,09/05/94,Sachin Tendulkar,India
2236,33.87,1,09/09/94,Sachin Tendulkar,India
2236,33.37,1,09/17/94,Sachin Tendulkar,India
2236,32.88,1,10/17/94,Sachin Tendulkar,India
2236,32.4,1,10/20/94,Sachin Tendulkar,India
2244,32.05,1,10/23/94,Sachin Tendulkar,India
2359,33.22,2,10/28/94,Sachin Tendulkar,India
2393,33.23,2,10/30/94,Sachin Tendulkar,India
2455,33.63,2,11/03/94,Sachin Tendulkar,India
2521,34.06,2,11/05/94,Sachin Tendulkar,India
2575,34.33,2,11/07/94,Sachin Tendulkar,India
2663,35.03,2,11/09/94,Sachin Tendulkar,India
2768,35.94,3,11/11/94,Sachin Tendulkar,India
2781,35.65,3,02/16/95,Sachin Tendulkar,India
2818,35.67,3,02/18/95,Sachin Tendulkar,India
2865,35.81,3,02/22/95,Sachin Tendulkar,India
2913,35.96,3,04/05/95,Sachin Tendulkar,India
2917,35.57,3,04/07/95,Sachin Tendulkar,India
3029,36.93,4,04/09/95,Sachin Tendulkar,India
3070,36.98,4,04/14/95,Sachin Tendulkar,India
3100,36.9,4,11/15/95,Sachin Tendulkar,India
3139,36.92,4,11/18/95,Sachin Tendulkar,India
3146,36.58,4,11/24/95,Sachin Tendulkar,India
3211,36.9,4,11/26/95,Sachin Tendulkar,India
3212,36.5,4,11/29/95,Sachin Tendulkar,India
3339,37.94,5,02/18/96,Sachin Tendulkar,India
3409,38.3,5,02/21/96,Sachin Tendulkar,India
3499,38.87,5,02/27/96,Sachin Tendulkar,India
3636,39.95,6,03/02/96,Sachin Tendulkar,India
3639,39.55,6,03/06/96,Sachin Tendulkar,India
3670,39.46,6,03/09/96,Sachin Tendulkar,India
3735,39.73,6,03/13/96,Sachin Tendulkar,India
3763,39.61,6,04/03/96,Sachin Tendulkar,India
3863,40.23,7,04/05/96,Sachin Tendulkar,India
3864,39.83,7,04/12/96,Sachin Tendulkar,India
3866,39.44,7,04/14/96,Sachin Tendulkar,India
3984,40.24,8,04/15/96,Sachin Tendulkar,India
4001,40.01,8,04/17/96,Sachin Tendulkar,India
4058,40.17,8,04/19/96,Sachin Tendulkar,India
4088,40.07,8,05/23/96,Sachin Tendulkar,India
4094,39.74,8,05/25/96,Sachin Tendulkar,India
4095,39.37,8,05/26/96,Sachin Tendulkar,India
4205,40.04,9,08/28/96,Sachin Tendulkar,India
4245,40.04,9,09/01/96,Sachin Tendulkar,India
4252,39.73,9,09/06/96,Sachin Tendulkar,India
4341,40.57,9,09/16/96,Sachin Tendulkar,India
4361,40.37,9,09/17/96,Sachin Tendulkar,India
4363,40.02,9,09/18/96,Sachin Tendulkar,India
4366,39.69,9,09/21/96,Sachin Tendulkar,India
4389,39.54,9,09/23/96,Sachin Tendulkar,India
4400,39.28,9,10/17/96,Sachin Tendulkar,India
4488,39.71,9,10/21/96,Sachin Tendulkar,India
4552,39.92,9,10/23/96,Sachin Tendulkar,India
4580,39.82,9,10/29/96,Sachin Tendulkar,India
4642,40.01,9,11/03/96,Sachin Tendulkar,India
4709,40.24,9,11/06/96,Sachin Tendulkar,India
